"resRR","PP","ID_area","resRRcat","PPcat"
1.66273511452384,0.999999813594183,1,"(1.6,2.1]","(0.8,1]"
1.88606629218609,0.99999981357715,2,"(1.6,2.1]","(0.8,1]"
1.01755477453376,0.618004303795317,3,"(1,1.2]","(0.2,0.8]"
0.53425231032333,0,4,"(0.423,0.6]","[0,0.2]"
1.73079056433533,0.999999811980069,5,"(1.6,2.1]","(0.8,1]"
0.596222503553893,0,6,"(0.423,0.6]","[0,0.2]"
1.16409560342001,0.973070680238951,7,"(1,1.2]","(0.8,1]"
0.990127226950081,0.423739802219208,8,"(0.8,1]","(0.2,0.8]"
0.584867926250551,0,9,"(0.423,0.6]","[0,0.2]"
0.423230633984682,0,10,"[0.4,0.423]","[0,0.2]"
1.51921847134335,0.999999812538988,11,"(1.4,1.6]","(0.8,1]"
0.92412770217783,0.0966120515218074,12,"(0.8,1]","[0,0.2]"
1.2330980103478,0.999925970756899,13,"(1.2,1.4]","(0.8,1]"
0.619431395789554,0,14,"(0.6,0.8]","[0,0.2]"
0.698291333908255,0,15,"(0.6,0.8]","[0,0.2]"
1.3348521695627,0.999999813003565,16,"(1.2,1.4]","(0.8,1]"
1.23961199635742,0.999907788131251,17,"(1.2,1.4]","(0.8,1]"
0.779263464164046,0.00049974325454949,18,"(0.6,0.8]","[0,0.2]"
1.39472075260105,0.999980855711658,19,"(1.2,1.4]","(0.8,1]"
0.760618549538687,4.66707809498867e-06,20,"(0.6,0.8]","[0,0.2]"
2.10410679177255,0.99999981244874,21,"(1.6,2.1]","(0.8,1]"
1.80168149076624,0.999999812389027,22,"(1.6,2.1]","(0.8,1]"
0.719071115305658,0,23,"(0.6,0.8]","[0,0.2]"
1.48695576681113,0.999999812619831,24,"(1.4,1.6]","(0.8,1]"
1.34180807002422,0.99999981255038,25,"(1.2,1.4]","(0.8,1]"
1.96601415833829,0.999999812977288,26,"(1.6,2.1]","(0.8,1]"
1.22729268813985,0.997820196338989,27,"(1.2,1.4]","(0.8,1]"
0.956787685014697,0.208471798039977,28,"(0.8,1]","(0.2,0.8]"
0.695075079732083,0,29,"(0.6,0.8]","[0,0.2]"
0.911167578907792,0.0615640550497335,30,"(0.8,1]","[0,0.2]"
0.72086957695483,0,31,"(0.6,0.8]","[0,0.2]"
1.43305883637555,0.999999812387856,32,"(1.4,1.6]","(0.8,1]"
1.02169031139992,0.632815887642838,33,"(1,1.2]","(0.2,0.8]"
1.51641780080625,0.999999812228264,34,"(1.4,1.6]","(0.8,1]"
1.75126870580362,0.999999812491546,35,"(1.6,2.1]","(0.8,1]"
0.85534852687909,0.00309568052138232,36,"(0.8,1]","[0,0.2]"
1.16151515186386,0.987491576468123,37,"(1,1.2]","(0.8,1]"
0.83944601332737,0.00889624909229181,38,"(0.8,1]","[0,0.2]"
1.42913847960857,0.999999813168681,39,"(1.4,1.6]","(0.8,1]"
1.75099901535743,0.999999811079134,40,"(1.6,2.1]","(0.8,1]"
1.25741080620146,0.999998873939587,41,"(1.2,1.4]","(0.8,1]"
1.45816231746552,0.999999810891538,42,"(1.4,1.6]","(0.8,1]"
1.45543269103929,0.999999813414706,43,"(1.4,1.6]","(0.8,1]"
0.64059829482001,0,44,"(0.6,0.8]","[0,0.2]"
0.785133196902557,0.00491761514826694,45,"(0.6,0.8]","[0,0.2]"
1.01876480499703,0.620579106951409,46,"(1,1.2]","(0.2,0.8]"
1.5170582368831,0.999999811595827,47,"(1.4,1.6]","(0.8,1]"
0.564419454775932,0,48,"(0.423,0.6]","[0,0.2]"
2.00851279613621,0.999999812265341,49,"(1.6,2.1]","(0.8,1]"
1.25233796987573,0.999772405384807,50,"(1.2,1.4]","(0.8,1]"
0.526594225038455,0,51,"(0.423,0.6]","[0,0.2]"
0.977753484230449,0.340866439332604,52,"(0.8,1]","(0.2,0.8]"
0.897022901892859,0.0510021150320935,53,"(0.8,1]","[0,0.2]"
0.896283972391677,0.0278292772874035,54,"(0.8,1]","[0,0.2]"
0.762421196928968,0,55,"(0.6,0.8]","[0,0.2]"
1.39177770790207,0.99999981236806,56,"(1.2,1.4]","(0.8,1]"
0.836744746797414,0.00209168124216474,57,"(0.8,1]","[0,0.2]"
0.729780339175691,0,58,"(0.6,0.8]","[0,0.2]"
0.787906872992979,0.000506558243525856,59,"(0.6,0.8]","[0,0.2]"
0.677287067742146,0,60,"(0.6,0.8]","[0,0.2]"
0.465700531376295,0,61,"(0.423,0.6]","[0,0.2]"
0.688951681768714,0,62,"(0.6,0.8]","[0,0.2]"
1.67390706456498,0.999999812840988,63,"(1.6,2.1]","(0.8,1]"
0.851816270143339,0.0341964177444233,64,"(0.8,1]","[0,0.2]"
0.540498065575423,0,65,"(0.423,0.6]","[0,0.2]"
1.51497512331621,0.999999812867765,66,"(1.4,1.6]","(0.8,1]"
0.686939857927274,0,67,"(0.6,0.8]","[0,0.2]"
0.530279622753705,0,68,"(0.423,0.6]","[0,0.2]"
1.36157438086828,0.999999812139593,69,"(1.2,1.4]","(0.8,1]"
0.822738718812874,0.000691973470323681,70,"(0.8,1]","[0,0.2]"
