"District","Year","Interaction","PP_pos","PP_neg"
"Sitapur",2014,-0.278179730323108,0.00392144289231777,0.996078557107682
"Gorakhpur",2001,-0.261873967470125,0.0156375419352665,0.984362458064734
"Lucknow",2012,-0.260407282502548,0.00980668184199474,0.990193318158005
"Hardoi",2013,-0.235166050136849,0.022320412599044,0.977679587400956
"Sitapur",2012,-0.230575664296563,0.0146984811008078,0.985301518899192
"Kheri",2010,-0.227539359321384,0.019004780780372,0.980995219219628
"Aligarh",2001,-0.224663623275873,0.0172981788217071,0.982701821178293
"Unnao",2010,-0.217741684557782,0.0304284612074701,0.96957153879253
"Sitapur",2010,-0.213832671016554,0.022028418088419,0.977971581911581
"Hardoi",2010,-0.209623442437367,0.0375412357268274,0.962458764273173
